episode,total_reward,epsilon,buffer_size,keep_ratio,next_ratio,traffic_N,traffic_S,traffic_E,traffic_W
131,-66.11,0.5186,50000,0.581,0.419,1026,353,515,970
132,-107.95,0.516,50000,0.511,0.489,745,741,1084,894
133,-15.64,0.5134,50000,0.568,0.432,1062,659,644,660
134,-75.15,0.5108,50000,0.553,0.447,802,700,782,1013
135,-65.14,0.5083,50000,0.528,0.472,414,372,1146,1163
136,-60.73,0.5058,50000,0.519,0.481,1017,308,864,377
137,-93.21,0.5032,50000,0.544,0.456,846,1109,864,402
138,-71.0,0.5007,50000,0.504,0.496,836,889,1137,830
139,-33.65,0.4982,50000,0.588,0.412,515,581,998,883
140,-103.0,0.4957,50000,0.518,0.482,968,766,1147,834
141,-18.6,0.4932,50000,0.54,0.46,776,619,528,1042
142,-58.93,0.4908,50000,0.576,0.424,1091,386,995,739
143,-31.88,0.4883,50000,0.554,0.446,931,357,434,481
144,-84.57,0.4859,50000,0.567,0.433,897,1077,873,723
145,-52.37,0.4834,50000,0.537,0.463,637,1149,1195,530
146,-55.22,0.481,50000,0.594,0.406,658,803,1055,384
147,-24.55,0.4786,50000,0.514,0.486,303,858,587,1139
148,-25.18,0.4762,50000,0.396,0.604,445,581,591,983
149,-9.27,0.4738,50000,0.568,0.432,725,397,415,757
150,-75.57,0.4715,50000,0.542,0.458,861,833,1121,731
151,-6.28,0.4691,50000,0.533,0.467,861,730,419,533
152,-34.65,0.4668,50000,0.467,0.533,310,440,543,1171
153,-20.24,0.4644,50000,0.546,0.454,987,581,358,487
154,-37.0,0.4621,50000,0.553,0.447,468,531,890,551
155,-6.93,0.4598,50000,0.604,0.396,390,630,869,493
156,-49.21,0.4575,50000,0.574,0.426,512,833,777,609
157,-49.05,0.4552,50000,0.535,0.465,614,1198,1087,400
158,-6.03,0.4529,50000,0.554,0.446,395,536,382,597
159,-24.47,0.4507,50000,0.576,0.424,467,930,634,660
160,-43.86,0.4484,50000,0.556,0.444,545,902,392,968
161,-25.14,0.4462,50000,0.557,0.443,1098,485,300,621
162,-28.12,0.444,50000,0.567,0.433,1187,332,668,552
163,-3.08,0.4417,50000,0.507,0.493,565,842,490,381
164,-107.0,0.4395,50000,0.551,0.449,1122,1072,1034,935
165,-84.0,0.4373,50000,0.56,0.44,1042,955,795,567
166,-4.41,0.4351,50000,0.482,0.518,455,681,621,650
167,-8.66,0.433,50000,0.583,0.417,390,693,854,307
168,-134.0,0.4308,50000,0.532,0.468,945,1086,1187,1121
169,-41.94,0.4286,50000,0.546,0.454,538,760,1064,435
170,-47.38,0.4265,50000,0.508,0.492,1176,866,545,614
171,-69.17,0.4244,50000,0.578,0.422,419,1149,912,1023
172,-42.12,0.4223,50000,0.531,0.469,1172,480,598,1029
173,-5.13,0.4201,50000,0.511,0.489,309,613,413,866
174,-56.36,0.418,50000,0.603,0.397,629,926,981,409
175,-50.52,0.4159,50000,0.597,0.403,817,1011,1172,532
176,-71.55,0.4139,50000,0.59,0.41,1084,475,722,717
177,-86.08,0.4118,50000,0.574,0.426,1023,1044,1056,1148
178,-51.52,0.4097,50000,0.553,0.447,891,669,673,862
179,-35.06,0.4077,50000,0.599,0.401,799,951,663,363
