scenario,mode,episode,seed,total_reward,avg_waiting_time,avg_queue,max_queue,throughput
asymmetric,webster,1,1001,-45.93,849.9180555555556,43.87361111111111,78.0,2217
asymmetric,rl,1,1001,-3.32,342.2083333333333,17.601388888888888,44.0,2755
asymmetric,fixed,2,1002,-98.96,1642.7333333333333,57.541666666666664,99.0,1813
asymmetric,webster,2,1002,-47.24,846.1875,44.03333333333333,74.0,2210
asymmetric,rl,2,1002,-2.669999999999998,360.36805555555554,18.180555555555557,46.0,2745
asymmetric,fixed,3,1003,-90.52,1601.1458333333333,56.69305555555555,101.0,1809
asymmetric,webster,3,1003,-56.13,839.7777777777778,43.19583333333333,72.0,2219
asymmetric,rl,3,1003,-5.84,342.40694444444443,17.541666666666668,44.0,2764
asymmetric,fixed,4,1004,-99.51,1643.5805555555555,57.34861111111111,99.0,1803
asymmetric,webster,4,1004,-50.67,845.6972222222222,43.416666666666664,78.0,2220
asymmetric,rl,4,1004,-4.68,360.36805555555554,18.154166666666665,46.0,2757
asymmetric,fixed,5,1005,-89.3,1645.7569444444443,57.11527777777778,96.0,1788
asymmetric,webster,5,1005,-48.69,845.8194444444445,43.975,76.0,2235
asymmetric,rl,5,1005,-2.79,367.20972222222224,18.304166666666667,44.0,2756
asymmetric,fixed,6,1006,-96.14,1646.6527777777778,57.47222222222222,100.0,1792
asymmetric,webster,6,1006,-47.0,826.3138888888889,43.576388888888886,81.0,2222
asymmetric,rl,6,1006,-2.76,346.28194444444443,17.67361111111111,46.0,2756
asymmetric,fixed,7,1007,-101.54,1640.3,57.084722222222226,95.0,1799
asymmetric,webster,7,1007,-33.38,824.6083333333333,42.793055555555554,76.0,2232
asymmetric,rl,7,1007,-1.87,374.43611111111113,18.511111111111113,45.0,2758
saturated,fixed,0,1000,-160.78,3155.148611111111,107.84027777777777,139.0,2442
saturated,webster,0,1000,-71.56,2987.9777777777776,88.14305555555555,125.0,3844
saturated,rl,0,1000,-86.5,2526.1388888888887,93.22361111111111,123.0,3411
saturated,fixed,1,1001,-170.73,3071.8958333333335,107.66388888888889,135.0,2460
saturated,webster,1,1001,-76.46,2972.429166666667,88.05416666666666,120.0,3825
saturated,rl,1,1001,-82.29,2471.851388888889,92.95555555555555,122.0,3342
saturated,fixed,2,1002,-188.44,3068.945833333333,107.37361111111112,136.0,2419
saturated,webster,2,1002,-84.19,2990.8611111111113,88.48055555555555,123.0,3803
saturated,rl,2,1002,-77.76,2415.7027777777776,92.61527777777778,120.0,3360
saturated,fixed,3,1003,-165.54,3029.9055555555556,106.18333333333334,134.0,2420
saturated,webster,3,1003,-66.9,2926.551388888889,87.54166666666667,122.0,3830
saturated,rl,3,1003,-79.67,2500.286111111111,94.35972222222222,119.0,3362
saturated,fixed,4,1004,-190.88,3205.0430555555554,109.22222222222223,139.0,2452
saturated,webster,4,1004,-75.34,2959.1833333333334,88.29166666666667,122.0,3828
saturated,rl,4,1004,-88.16,2477.7819444444444,94.50416666666666,122.0,3365
saturated,fixed,5,1005,-165.35,3172.2708333333335,107.86527777777778,137.0,2423
saturated,webster,5,1005,-80.13,3035.8791666666666,89.275,123.0,3808
saturated,rl,5,1005,-71.25,2505.776388888889,93.39722222222223,121.0,3364
saturated,fixed,6,1006,-162.98,3040.152777777778,106.20833333333333,137.0,2422
saturated,webster,6,1006,-73.71,3002.551388888889,88.64027777777778,122.0,3847
saturated,rl,6,1006,-75.15,2443.304166666667,92.83472222222223,123.0,3352
saturated,fixed,7,1007,-171.89,3098.086111111111,107.65972222222223,139.0,2429
saturated,webster,7,1007,-75.43,3007.284722222222,89.21805555555555,119.0,3827
saturated,rl,7,1007,-80.46,2455.258333333333,93.06666666666666,117.0,3370
