scenario,mode,episode,seed,total_reward,avg_waiting_time,avg_queue,max_queue,throughput
asymmetric,rl_global,9,1009,-3.97,398.75555555555553,17.781944444444445,38.0,2760
asymmetric,rl_e2,9,1009,-3.65,424.74861111111113,19.06111111111111,36.0,2761
asymmetric,fixed,10,1010,-90.72,1623.5458333333333,56.041666666666664,97.0,1788
asymmetric,webster,10,1010,-52.82,871.7236111111112,43.36805555555556,76.0,2231
asymmetric,rl_global,10,1010,-6.38,398.0097222222222,17.766666666666666,37.0,2761
asymmetric,rl_e2,10,1010,-6.92,407.4236111111111,18.51527777777778,36.0,2757
asymmetric,fixed,11,1011,-110.01,1706.1555555555556,57.44305555555555,98.0,1795
asymmetric,webster,11,1011,-43.16,856.0625,43.30277777777778,73.0,2227
asymmetric,rl_global,11,1011,-3.68,378.78333333333336,17.266666666666666,35.0,2748
asymmetric,rl_e2,11,1011,-4.51,418.1277777777778,18.78611111111111,38.0,2758
asymmetric,fixed,12,1012,-100.85,1638.4888888888888,56.486111111111114,94.0,1809
asymmetric,webster,12,1012,-47.84,877.2333333333333,43.56527777777778,76.0,2213
asymmetric,rl_global,12,1012,-4.03,413.80555555555554,18.25,40.0,2761
asymmetric,rl_e2,12,1012,-7.53,413.41527777777776,18.698611111111113,37.0,2759
asymmetric,fixed,13,1013,-105.36,1690.5861111111112,57.36944444444445,98.0,1789
asymmetric,webster,13,1013,-50.26,870.5638888888889,43.67916666666667,75.0,2211
asymmetric,rl_global,13,1013,-2.8,415.55833333333334,18.220833333333335,42.0,2761
asymmetric,rl_e2,13,1013,-5.23,405.39722222222224,18.38888888888889,37.0,2759
asymmetric,fixed,14,1014,-101.07,1656.7555555555555,56.583333333333336,94.0,1807
asymmetric,webster,14,1014,-40.95,902.3013888888889,44.206944444444446,74.0,2227
asymmetric,rl_global,14,1014,-7.37,409.6166666666667,18.141666666666666,38.0,2759
asymmetric,rl_e2,14,1014,-5.76,416.3236111111111,18.772222222222222,37.0,2756
saturated,fixed,0,1000,-174.18,3113.5,105.8638888888889,136.0,2442
saturated,webster,0,1000,-79.65,3282.898611111111,91.59583333333333,131.0,3656
saturated,rl_global,0,1000,-93.62,2358.170833333333,94.50972222222222,120.0,3141
saturated,rl_e2,0,1000,-108.28,2640.5402777777776,91.80833333333334,122.0,3393
saturated,fixed,1,1001,-147.62,3078.988888888889,105.49166666666666,135.0,2449
saturated,webster,1,1001,-77.94,3276.1305555555555,89.09444444444445,120.0,3772
saturated,rl_global,1,1001,-99.58,2356.097222222222,93.61111111111111,119.0,3152
saturated,rl_e2,1,1001,-86.09,2762.8083333333334,90.37638888888888,121.0,3411
saturated,fixed,2,1002,-151.67,3169.8888888888887,107.28194444444445,137.0,2449
saturated,webster,2,1002,-84.76,3284.633333333333,90.22638888888889,126.0,3729
saturated,rl_global,2,1002,-96.11,2327.913888888889,95.24027777777778,122.0,3077
saturated,rl_e2,2,1002,-90.07,2659.873611111111,92.73611111111111,121.0,3340
saturated,fixed,3,1003,-168.05,3215.3166666666666,108.50972222222222,136.0,2429
saturated,webster,3,1003,-74.53,3267.4416666666666,90.20416666666667,121.0,3734
saturated,rl_global,3,1003,-102.16,5684.8625,110.12361111111112,200.0,2667
saturated,rl_e2,3,1003,-83.24,2646.1902777777777,93.35555555555555,122.0,3346
saturated,fixed,4,1004,-161.15,3035.238888888889,105.07777777777778,132.0,2413
saturated,webster,4,1004,-77.83,3358.351388888889,91.02916666666667,127.0,3759
saturated,rl_global,4,1004,-101.67,2335.0777777777776,94.22777777777777,120.0,3137
saturated,rl_e2,4,1004,-80.0,2557.2708333333335,91.6763888888889,131.0,3334
saturated,fixed,5,1005,-144.75,3183.358333333333,107.06527777777778,135.0,2427
saturated,webster,5,1005,-72.43,3268.159722222222,90.68055555555556,126.0,3737
saturated,rl_global,5,1005,-88.01,5478.034722222223,107.67361111111111,193.0,2690
saturated,rl_e2,5,1005,-77.78,2729.3555555555554,91.24305555555556,123.0,3377
saturated,fixed,6,1006,-163.79,3121.163888888889,106.62638888888888,138.0,2409
saturated,webster,6,1006,-72.71,3278.284722222222,90.6138888888889,128.0,3716
saturated,rl_global,6,1006,-107.93,2401.5597222222223,92.94166666666666,117.0,3205
saturated,rl_e2,6,1006,-75.6,2624.351388888889,91.53055555555555,131.0,3364
saturated,fixed,7,1007,-162.07,2931.804166666667,103.57083333333334,133.0,2430
saturated,webster,7,1007,-69.72,3315.1569444444444,90.90277777777777,142.0,3732
saturated,rl_global,7,1007,-90.9,2341.3930555555557,93.24722222222222,118.0,3188
saturated,rl_e2,7,1007,-91.95,2711.490277777778,92.28333333333333,122.0,3432
saturated,fixed,8,1008,-145.07,3074.0125,105.95694444444445,138.0,2430
saturated,webster,8,1008,-75.11,3332.0555555555557,90.50277777777778,130.0,3713
saturated,rl_global,8,1008,-109.26,2350.5291666666667,92.98333333333333,143.0,3127
saturated,rl_e2,8,1008,-70.95,2641.801388888889,91.78888888888889,120.0,3369
saturated,fixed,9,1009,-190.56,3119.0777777777776,106.35972222222222,137.0,2413
saturated,webster,9,1009,-79.6,3337.070833333333,91.20833333333333,122.0,3723
saturated,rl_global,9,1009,-105.12,2399.7986111111113,93.725,121.0,3148
saturated,rl_e2,9,1009,-86.24,2576.2541666666666,93.16388888888889,117.0,3324
saturated,fixed,10,1010,-159.72,3099.038888888889,106.43888888888888,133.0,2408
saturated,webster,10,1010,-84.29,3354.563888888889,92.28333333333333,129.0,3637
saturated,rl_global,10,1010,-106.13,2408.723611111111,94.78888888888889,121.0,3137
saturated,rl_e2,10,1010,-84.42,2704.8444444444444,89.51666666666667,126.0,3442
saturated,fixed,11,1011,-164.84,3057.0152777777776,104.44166666666666,135.0,2449
saturated,webster,11,1011,-85.25,3292.679166666667,90.0513888888889,122.0,3761
saturated,rl_global,11,1011,-97.46,2460.945833333333,94.71388888888889,123.0,3161
saturated,rl_e2,11,1011,-74.5,2690.95,91.57777777777778,121.0,3332
saturated,fixed,12,1012,-165.8,3157.8333333333335,107.06388888888888,136.0,2422
saturated,webster,12,1012,-69.66,3239.063888888889,89.73472222222222,125.0,3744
saturated,rl_global,12,1012,-91.95,2341.5569444444445,94.25833333333334,123.0,3115
saturated,rl_e2,12,1012,-88.97,2748.0833333333335,91.69305555555556,122.0,3382
saturated,fixed,13,1013,-151.26,3068.4125,104.9,130.0,2426
saturated,webster,13,1013,-71.39,3312.5194444444446,89.60555555555555,122.0,3784
saturated,rl_global,13,1013,-114.29,5157.763888888889,105.58888888888889,191.0,2732
saturated,rl_e2,13,1013,-72.4,2763.2708333333335,91.84861111111111,124.0,3423
saturated,fixed,14,1014,-163.72,3103.9375,105.89166666666667,139.0,2437
saturated,webster,14,1014,-79.21,3285.0555555555557,90.47361111111111,122.0,3714
saturated,rl_global,14,1014,-106.82,2375.526388888889,93.1625,125.0,3184
saturated,rl_e2,14,1014,-91.83,2693.3930555555557,91.24305555555556,123.0,3388
