episode,total_reward,epsilon,buffer_size
411,-1901.37,0.1274,50000
412,-1940.0,0.1268,50000
413,-1910.0,0.1262,50000
414,-1910.0,0.1255,50000
415,-1890.0,0.1249,50000
416,-1880.0,0.1243,50000
417,-1879.99,0.1237,50000
418,-24.7,0.123,50000
419,-1890.0,0.1224,50000
420,-1910.0,0.1218,50000
421,-1850.0,0.1212,50000
422,-1888.38,0.1206,50000
423,-1920.0,0.12,50000
424,-1940.0,0.1194,50000
425,-6.5,0.1188,50000
426,-1940.0,0.1182,50000
427,-1860.0,0.1176,50000
428,-1869.88,0.117,50000
429,-1940.0,0.1164,50000
430,-1880.0,0.1159,50000
431,-1930.0,0.1153,50000
432,-1860.0,0.1147,50000
433,-2.82,0.1141,50000
434,-1950.0,0.1136,50000
435,-1960.0,0.113,50000
436,-1890.0,0.1124,50000
437,-1890.0,0.1119,50000
438,-1890.0,0.1113,50000
439,-1960.0,0.1107,50000
440,-1830.0,0.1102,50000
441,-1850.0,0.1096,50000
442,-1940.0,0.1091,50000
443,-1920.0,0.1085,50000
444,-1840.0,0.108,50000
445,-1980.0,0.1075,50000
446,-1930.0,0.1069,50000
447,-1940.0,0.1064,50000
448,-1.53,0.1059,50000
449,-1860.0,0.1053,50000
450,-1900.0,0.1048,50000
451,-1920.0,0.1043,50000
452,-1900.0,0.1038,50000
453,-1950.0,0.1032,50000
454,-1960.0,0.1027,50000
455,-1860.0,0.1022,50000
456,-1920.0,0.1017,50000
457,-1890.0,0.1012,50000
458,-1485.77,0.1007,50000
459,-1850.0,0.1002,50000
460,-1890.0,0.0997,50000
461,-1870.0,0.0992,50000
462,-15.76,0.0987,50000
463,-1880.0,0.0982,50000
464,-1890.0,0.0977,50000
465,-1860.0,0.0972,50000
466,-1920.0,0.0967,50000
467,-2.39,0.0962,50000
468,-1940.0,0.0958,50000
469,-1840.0,0.0953,50000
470,-1910.0,0.0948,50000
471,-1980.0,0.0943,50000
472,-1337.96,0.0939,50000
473,-1890.0,0.0934,50000
474,-1880.0,0.0929,50000
475,-1922.23,0.0925,50000
476,-1990.0,0.092,50000
477,-1910.0,0.0915,50000
478,-1880.0,0.0911,50000
479,-1970.0,0.0906,50000
480,-1900.0,0.0902,50000
481,-1839.96,0.0897,50000
482,-1860.0,0.0893,50000
